"Município";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";" Total"
"210635 MARAJA DO SENA";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"210640 MATA ROMA";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"210660 MATOES";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"210667 MILAGRES DO MARANHAO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"210690 MONCAO";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"210710 MORROS";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"210720 NINA RODRIGUES";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"2";"0";"0";"0";"0";"0";"0";"3";"0";"0";"8"
"210735 NOVA OLINDA DO MARANHAO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"210740 OLHO D\'AGUA DAS CUNHAS";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2"
"210745 OLINDA NOVA DO MARANHAO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"210750 PACO DO LUMIAR";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6"
"210760 PALMEIRANDIA";"0";"0";"0";"0";"2";"0";"2";"0";"0";"0";"3";"0";"0";"2";"2";"0";"3";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"17"
"210770 PARAIBANO";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"210780 PARNARAMA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"56";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"57"
"210790 PASSAGEM FRANCA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"3"
"210805 PAULINO NEVES";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"210810 PAULO RAMOS";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"210820 PEDREIRAS";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3"
"210830 PENALVA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"6"
"210840 PERI MIRIM";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"210845 PERITORO";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"210850 PINDARE-MIRIM";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"210860 PINHEIRO";"0";"1";"1";"0";"1";"3";"5";"13";"10";"9";"2";"0";"1";"3";"0";"2";"5";"0";"1";"1";"0";"0";"0";"2";"1";"1";"0";"0";"0";"0";"0";"62"
"210870 PIO XII";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"210880 PIRAPEMAS";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"210890 POCAO DE PEDRAS";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"210900 PORTO FRANCO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"210910 PRESIDENTE DUTRA";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"4"
"210923 PRESIDENTE MEDICI";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1"
"210930 PRESIDENTE VARGAS";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6"
"210940 PRIMEIRA CRUZ";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"210945 RAPOSA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"210970 SAMBAIBA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"210975 SANTA FILOMENA DO MARANHAO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"210990 SANTA INES";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"211000 SANTA LUZIA";"2";"0";"2";"0";"1";"0";"5";"11";"7";"5";"2";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"39"
"211010 SANTA QUITERIA DO MARANHAO";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"211020 SANTA RITA";"0";"0";"0";"0";"0";"0";"0";"4";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
"211030 SANTO ANTONIO DOS LOPES";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"7"
"211040 SAO BENEDITO DO RIO PRETO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"3"
"211050 SAO BENTO";"0";"0";"0";"0";"0";"2";"2";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"9"
"211060 SAO BERNARDO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"34";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"34"
"211065 SAO DOMINGOS DO AZEITAO";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"211070 SAO DOMINGOS DO MARANHAO";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"211080 SAO FELIX DE BALSAS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"211085 SAO FRANCISCO DO BREJAO";"0";"0";"1";"0";"0";"0";"0";"0";"0";"7";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10"
"211100 SAO JOAO BATISTA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"211107 SAO JOAO DO SOTER";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"211110 SAO JOAO DOS PATOS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2"
"211120 SAO JOSE DE RIBAMAR";"0";"0";"0";"1";"0";"0";"1";"0";"1";"57";"12";"11";"0";"0";"1";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"88"
"211130 SAO LUIS";"2";"1";"0";"0";"3";"3";"1";"1";"1";"61";"21";"10";"2";"1";"2";"1";"2";"3";"2";"2";"2";"2";"1";"0";"3";"1";"1";"0";"0";"0";"0";"129"
"211140 SAO LUIS GONZAGA DO MARANHAO";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"211150 SAO MATEUS DO MARANHAO";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"6"
"211153 SAO PEDRO DA AGUA BRANCA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"211157 SAO PEDRO DOS CRENTES";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"211160 SAO RAIMUNDO DAS MANGABEIRAS";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"211163 SAO RAIMUNDO DO DOCA BEZERRA";"0";"3";"0";"0";"0";"0";"0";"0";"0";"8";"0";"5";"0";"1";"0";"2";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"23"
"211167 SAO ROBERTO";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"211170 SAO VICENTE FERRER";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"2"
"211174 SENADOR ALEXANDRE COSTA";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"211178 SERRANO DO MARANHAO";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"211180 SITIO NOVO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1"
"211195 SUCUPIRA DO RIACHAO";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"211200 TASSO FRAGOSO";"0";"0";"0";"0";"0";"2";"0";"0";"0";"3";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"8"
"211210 TIMBIRAS";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"2";"0";"1";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9"
"211220 TIMON";"4";"0";"0";"0";"0";"2";"1";"2";"2";"123";"29";"1";"0";"1";"0";"3";"6";"1";"3";"4";"0";"1";"0";"0";"2";"1";"1";"0";"0";"0";"0";"187"
"211223 TRIZIDELA DO VALE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"211227 TUFILANDIA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"211230 TUNTUM";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"6";"4";"3";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"20"
"211240 TURIACU";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"211245 TURILANDIA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2"
"211250 TUTOIA";"0";"0";"0";"0";"0";"1";"0";"0";"0";"17";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"20"
"211260 URBANO SANTOS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"211270 VARGEM GRANDE";"80";"67";"80";"45";"44";"0";"0";"1";"1";"6";"25";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"351"
"211280 VIANA";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"8"
"211285 VILA NOVA DOS MARTIRIOS";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"211290 VITORIA DO MEARIM";"0";"0";"1";"0";"0";"2";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7"
"211300 VITORINO FREIRE";"0";"0";"1";"0";"0";"0";"0";"0";"0";"7";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"12"
"211400 ZE DOCA";"1";"0";"0";"0";"0";"0";"0";"0";"0";"6";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10"
"220030 ALTO LONGA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
"220040 ALTOS";"3";"1";"0";"0";"0";"0";"2";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10"
"220050 AMARANTE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"19";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"21"
"220095 AROEIRAS DO ITAIM";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"220115 BAIXA GRANDE DO RIBEIRO";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"220120 BARRAS";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7"
"220130 BARREIRAS DO PIAUI";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"220150 BATALHA";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"220190 BOM JESUS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"220192 BONFIM DO PIAUI";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"220196 BRASILEIRA";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"220200 BURITI DOS LOPES";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"220205 CABECEIRAS DO PIAUI";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"220209 CALDEIRAO GRANDE DO PIAUI";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"220217 CAMPO LARGO DO PIAUI";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"220240 CAPITAO DE CAMPOS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"220260 CASTELO DO PIAUI";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"220270 COCAL";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7"
"220273 COIVARAS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"220285 CORONEL JOSE DIAS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5"
"220290 CORRENTE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"220300 CRISTALANDIA DO PIAUI";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"1";"0";"1";"0";"3";"1";"5";"4";"0";"1";"0";"0";"0";"0";"20"
"220320 CURIMATA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"21"
"220342 DOMINGOS MOURAO";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"220350 ELESBAO VELOSO";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"220370 ESPERANTINA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9"
"220390 FLORIANO";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"4"
"220410 FRANCISCO AYRES";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"220435 GEMINIANO";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"220440 GILBUES";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"220460 HUGO NAPOLEAO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"220465 ILHA GRANDE";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"220470 INHUMA";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"220480 IPIRANGA DO PIAUI";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"220500 ITAINOPOLIS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"5"
"220510 ITAUEIRA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"15";"13";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"28"
"220515 JACOBINA DO PIAUI";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"220520 JAICOS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"220530 JERUMENHA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"220545 JOCA MARQUES";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"220550 JOSE DE FREITAS";"0";"0";"1";"1";"1";"2";"0";"0";"0";"0";"20";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"28"
"220551 JUAZEIRO DO PIAUI";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
