"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026961 - UBS VILA HELOISA","1","0","0","0","0","3","0","0","1","0","0","1","0","1","0","2","0","0","1","1","0","1","1","1","0","1","2","2","2","0","0","0","2","1","0","0"
"2026988 - AMA UBS INTEGRADA VILA CALIFORNIA ZEILIVAL BRUSCAGIN","1","2","2","0","1","2","0","3","2","0","0","2","0","1","4","0","1","2","2","1","0","3","0","0","0","1","0","3","1","3","0","0","0","2","2","1"
"2026996 - AMA UBS INTEGRADA JOSE BONIFACIO I","1","1","1","1","0","0","1","1","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","2","1","0","0"
"2027011 - UBS JD CARRAOZINHO","11","5","6","5","4","10","10","8","5","6","8","3","8","10","8","7","4","6","3","7","10","12","8","7","5","8","5","7","7","6","12","8","4","2","4","6"
"2027038 - UBS CID SATELITE SANTA BARBARA","2","1","0","1","2","3","0","0","1","0","2","0","1","2","2","0","1","1","0","0","0","0","0","2","0","0","0","2","0","0","1","0","0","1","3","1"
"2027046 - UBS JD PARAGUACU DR GONCALO FELICIANO ALVES","0","0","0","0","0","0","1","0","0","3","0","1","0","1","0","0","2","0","1","3","1","1","0","1","0","0","1","1","2","0","0","0","3","0","0","0"
"2027054 - UBS J MARILIA","1","1","0","0","1","4","0","1","3","0","0","0","1","1","0","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","1","0","1","0","1","0"
"2027062 - UBS VILA RAMOS FREGUESIA DO O","13","14","4","5","7","11","2","10","15","6","6","8","5","2","5","10","5","0","4","3","0","8","6","8","6","10","5","10","6","9","0","0","0","9","5","8"
"2027070 - AMA UBS INTEGRADA PADRE MANOEL DA NOBREGA","1","0","3","0","0","1","0","1","0","1","0","0","3","2","1","2","2","0","1","0","0","0","4","0","2","3","1","0","3","2","0","0","0","0","0","1"
"2027275 - UBS V ALBERTINA DR OSVALDO MARCAL","0","0","4","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","1","1","0","0","2","1","0","0","0","1","2","0","1","0"
"2027305 - UBS PROFETA JEREMIAS","6","5","7","0","0","0","7","3","5","2","3","6","6","6","7","7","4","4","6","5","6","2","8","6","2","5","7","3","3","11","8","2","4","0","0","0"
"2027321 - UBS RECANTO CAMPO BELO","16","9","6","6","8","5","1","16","6","1","9","9","2","1","15","0","0","0","0","2","2","1","2","4","3","1","5","1","6","4","6","2","5","5","0","6"
"2027380 - UBS MENINOPOLIS MARIO FRANCISCO NAPOLITANO","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","1","2","0","0","0","0","1","3","2","1","0","3","0","1","1","0","1","1","0","1","1"
"2027461 - UBS PQ DA LAPA","4","10","4","2","3","3","0","5","6","6","2","5","4","2","2","4","2","2","0","0","0","3","5","6","9","9","4","4","3","5","6","7","9","10","4","5"
"2027526 - UBS JARDIM NELIA","13","18","6","0","0","0","7","13","17","8","17","9","19","9","17","22","12","19","0","0","0","15","32","12","21","28","17","18","14","24","18","15","23","11","17","19"
"2027631 - UBS JOAQUIM ANTONIO EIRADO","0","1","1","1","0","2","1","0","2","1","1","0","1","0","0","2","2","1","2","0","1","1","1","0","2","3","0","0","1","1","0","1","3","0","0","2"
"2027666 - UBS CHORA MENINO","0","1","0","0","0","2","1","0","0","1","0","1","0","1","0","1","0","0","0","0","0","1","2","0","0","0","0","1","1","1","0","0","1","0","0","0"
"2027674 - UBS V NIVI","0","2","0","0","1","0","0","0","1","0","1","2","0","1","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0"
"2027682 - UBS CASA VERDE","3","3","2","1","0","0","0","1","0","0","1","0","0","2","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","2","0","0"
"2027690 - UBS DONA MARIQUINHA SCIASCIA","0","0","4","0","0","0","0","0","1","0","1","1","1","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","3","1","0","1","0","1"
"2027720 - UBS V MARIA LUIZ PAULO GNECCO","0","0","1","1","2","1","0","0","1","0","0","0","0","2","1","1","2","0","0","0","0","0","2","1","0","1","1","0","1","1","0","1","0","0","0","2"
"2028182 - CENTRO ASSISTENCIAL CRUZ DE MALTA","3","4","5","5","0","3","3","2","0","1","3","0","0","2","0","1","1","1","3","0","0","5","2","4","1","3","2","2","5","3","4","2","4","1","2","0"
"2028840 - INSTITUTO DE INFECTOLOGIA EMILIO RIBAS SAO PAULO","0","2","1","0","0","2","1","0","0","2","0","2","0","0","0","1","3","0","0","0","0","2","0","0","0","0","0","0","1","1","2","1","2","2","1","0"
"2029618 - UBS BOM RETIRO OCTAVIO AUGUSTO RODOVALHO","0","0","3","0","0","0","0","2","1","0","2","2","0","1","1","3","0","0","1","0","0","0","2","1","1","2","2","1","0","3","0","3","1","0","0","0"
"2030934 - UBS CIDADE VARGAS","0","2","0","1","0","0","0","0","1","1","0","2","0","0","0","0","1","0","0","1","0","0","0","0","0","0","2","1","0","0","0","0","0","0","1","0"
"2030969 - AMA UBS INTEGRADA AMERICANOPOLIS","9","1","3","11","2","3","5","9","3","3","8","4","3","4","10","0","0","0","3","5","7","8","7","8","6","5","4","4","6","9","0","0","0","3","5","7"
"2042258 - UBS MOOCA I","2","3","1","1","3","0","0","0","5","1","0","0","1","1","1","1","1","0","1","1","0","1","1","4","0","0","0","0","0","0","0","0","0","1","2","0"
"2042541 - UBS DR JOSE TOLEDO PIZA","1","0","0","1","3","0","0","0","0","0","1","0","1","1","0","0","0","2","0","4","1","0","0","1","0","1","4","0","0","1","1","0","0","0","1","2"
"2042827 - AMA UBS INTEGRADA JARDIM NORDESTE","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2042932 - AMA UBS INTEGRADA JARDIM GRIMALDI","0","1","2","0","1","1","1","1","1","0","0","2","0","1","1","2","1","0","1","0","1","2","2","2","1","2","1","1","0","3","0","0","0","0","0","0"
"2042959 - UBS JOAQUIM ROSSINI","0","0","0","0","0","0","1","0","0","1","1","0","0","2","0","1","0","2","0","2","6","3","1","2","0","0","1","1","2","0","1","2","0","3","3","0"
"2042967 - UBS J DA SAUDE NEUSA ROSALIA MORALES","0","1","1","0","2","1","0","0","0","1","1","1","0","1","0","0","1","3","2","0","1","0","0","2","0","1","0","0","1","0","2","0","1","0","1","0"
"2042975 - UBS OSWALDO MARASCA JUNIOR","0","3","1","2","0","0","1","0","3","0","1","1","1","0","0","0","1","0","2","0","2","5","0","0","4","2","2","2","4","0","2","4","3","1","4","3"
"2042983 - UBS EDUARDO ROMANO RESCHILIAN","2","3","3","0","2","3","3","4","3","3","0","4","3","0","3","1","3","1","2","4","2","3","1","4","0","3","3","2","1","0","2","1","6","0","2","1"
"2042991 - AMA UBS INTEGRADA DR GERALDO DA SILVA FERREIRA CEO II","1","1","1","0","1","0","0","0","1","1","0","0","0","1","1","1","2","0","0","1","1","1","0","1","3","1","0","0","1","1","0","0","0","3","3","1"
"2043009 - AMA UBS INTEGRADA JARDIM ELBA HUMBERTO GASTAO BODRA","2","2","2","3","1","1","5","3","1","5","2","3","2","7","2","5","5","4","5","1","7","2","5","8","2","4","3","5","3","6","0","0","0","6","3","2"
"2043017 - UBS MASCARENHAS DE MORAES","8","14","16","4","6","7","5","10","7","4","7","11","6","7","4","8","6","8","16","7","10","3","7","9","6","18","2","9","3","10","0","0","0","5","7","7"
"2045451 - UBS VILA ALPINA DR HERMINIO MOREIRA","2","2","0","1","2","5","0","1","3","2","2","1","1","0","0","1","1","3","0","0","0","2","2","3","0","0","1","0","3","2","0","0","0","0","0","3"
"2046261 - UBS ITAIM PAULISTA JULIO DE GOUVEIA","1","0","1","1","1","2","1","2","1","1","2","0","2","0","2","1","2","2","0","0","0","3","2","2","0","0","0","1","3","1","0","0","0","2","2","4"
"2046962 - UBS CIDADE PEDRO JOSE NUNES","8","9","6","3","7","6","3","7","7","0","4","8","5","4","5","0","0","0","0","0","0","9","14","3","5","6","5","9","8","13","8","10","8","6","6","7"
"2046997 - UBS V STA CATARINA","0","0","2","0","0","1","0","0","1","3","5","3","6","5","2","11","7","5","11","7","5","7","11","6","11","9","5","7","7","12","0","0","0","12","6","8"
"2047004 - UBS AURELIO MELLONE JD S SAVERIO","10","8","7","8","4","9","4","8","6","7","8","8","5","3","6","7","5","6","12","4","6","14","9","5","18","10","5","15","14","6","4","14","13","7","12","15"
"2057131 - UBS CIDADE KEMEL","1","7","7","0","0","0","7","2","7","9","4","5","7","11","4","14","5","5","0","0","0","13","9","6","8","14","8","5","12","9","12","10","14","1","4","7"
"2057271 - UBS J CAMARGO NOVO","2","0","0","0","0","0","0","1","0","0","0","1","2","0","2","1","1","2","0","0","0","1","1","2","0","1","2","2","1","2","1","2","2","1","0","1"
"2057891 - UBS PQ SAO LUCAS","2","3","0","0","1","0","1","1","2","1","0","1","0","1","1","0","2","2","1","0","1","1","1","2","1","2","1","1","0","2","0","0","0","3","2","2"
"2058502 - HOSP DO SERV PUB EST FCO MORATO DE OLIVEIRA SAO PAULO","0","1","2","3","0","4","2","0","3","5","5","0","3","6","0","1","0","2","4","3","6","2","1","0","2","5","3","3","2","2","3","2","5","0","4","1"
"2062658 - UBS J MAIA","12","20","14","18","15","22","9","23","20","7","13","19","18","20","21","0","0","0","18","21","18","13","23","18","19","15","22","11","20","22","15","14","20","14","13","18"
"2063670 - UBS VILA SABRINA DR CARLOS AUGUSTO AUTRAN PEDERNEIRAS LIMA","0","0","3","1","2","0","2","1","0","1","1","0","0","0","0","2","0","0","0","0","0","1","3","0","0","1","1","1","1","3","1","1","0","0","0","1"
"2064820 - UBS DR CARLOS OLIVALDO DE SOUZA LOPES MUNIZ","2","0","0","0","0","0","0","2","0","1","0","3","0","1","1","2","1","0","0","0","1","1","3","0","0","0","2","1","1","2","0","0","0","0","1","0"
"2064855 - UBS AGUA FUNDA","8","1","1","5","3","0","7","6","0","1","5","0","4","2","2","6","5","7","6","3","5","10","6","10","9","3","2","10","8","6","4","14","6","10","8","6"
"2065266 - UBS ERMELINO MATARAZZO","2","2","5","0","0","0","2","4","3","8","7","3","7","3","4","4","8","4","3","10","2","6","7","7","2","5","8","3","6","6","4","2","3","4","3","5"
"2068044 - UBS HORTO FLORESTAL","0","0","0","1","0","0","0","0","1","0","1","1","1","1","0","1","1","1","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0"
