"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026961 - UBS VILA HELOISA","11","18","24","23","14","8","14","16","23","1","0","0","0","0","0","0","2","0","0","0","0","1","0","1","0","0","1","1","1","0","0","0","2","0","1","0"
"2026988 - AMA UBS INTEGRADA VILA CALIFORNIA ZEILIVAL BRUSCAGIN","28","21","24","17","17","13","22","25","20","1","0","0","1","1","1","0","1","0","1","1","1","1","1","0","0","1","1","0","0","2","1","0","0","0","1","1"
"2026996 - AMA UBS INTEGRADA JOSE BONIFACIO I","35","16","37","18","22","27","20","15","18","0","0","0","0","1","0","1","1","0","0","0","0","0","1","0","2","0","1","0","0","1","1","1","2","0","0","0"
"2027011 - UBS JD CARRAOZINHO","17","14","14","9","7","14","14","12","12","4","5","0","13","6","10","11","6","6","3","10","5","5","13","5","5","4","14","8","6","11","6","7","5","4","7","6"
"2027038 - UBS CID SATELITE SANTA BARBARA","32","28","42","18","26","19","39","30","31","0","1","5","0","2","1","1","2","0","0","2","1","0","1","2","0","0","1","3","0","2","0","2","1","1","1","1"
"2027046 - UBS JD PARAGUACU DR GONCALO FELICIANO ALVES","12","23","22","12","12","8","16","12","18","1","1","0","1","2","1","0","0","1","1","0","1","0","0","2","0","0","0","0","1","0","1","0","1","0","1","0"
"2027054 - UBS J MARILIA","25","25","40","19","11","23","27","16","14","0","1","1","0","1","0","1","0","0","0","0","0","0","1","2","0","0","0","1","2","0","1","0","0","0","0","0"
"2027062 - UBS VILA RAMOS FREGUESIA DO O","11","20","21","13","25","17","25","12","21","5","3","1","15","9","0","12","6","3","9","15","7","1","10","5","5","9","11","8","3","11","10","5","15","10","9","4"
"2027070 - AMA UBS INTEGRADA PADRE MANOEL DA NOBREGA","28","32","30","25","20","21","18","14","20","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","3","0","0","1","0","0","1"
"2027275 - UBS V ALBERTINA DR OSVALDO MARCAL","26","34","25","31","18","18","21","26","23","1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0","3","0","0","1","2","0","0","1"
"2027305 - UBS PROFETA JEREMIAS","13","16","19","9","12","10","11","12","12","6","3","5","3","5","3","9","6","3","9","3","5","6","9","7","7","9","3","5","7","11","4","7","9","5","6","9"
"2027321 - UBS RECANTO CAMPO BELO","33","31","35","26","11","28","31","31","25","0","1","0","0","0","1","0","1","1","0","0","0","1","1","2","3","1","1","14","7","8","17","9","7","24","18","5"
"2027380 - UBS MENINOPOLIS MARIO FRANCISCO NAPOLITANO","9","9","3","13","8","6","7","7","2","1","0","1","0","2","0","2","0","0","0","0","0","0","3","0","0","0","0","0","0","2","0","0","0","0","1","1"
"2027461 - UBS PQ DA LAPA","35","44","34","22","25","29","15","18","18","8","4","7","5","4","4","10","3","5","0","0","0","5","8","3","5","12","9","5","6","9","0","0","0","5","3","6"
"2027526 - UBS JARDIM NELIA","47","57","65","39","43","48","49","46","42","1","4","4","6","8","3","7","5","7","11","4","8","4","9","6","6","8","7","12","7","13","13","3","9","0","1","0"
